,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,player_ranking,opponent_name,match_win_loss,match_score
222,2002,Long Island,"Long Island, NY, U.S.A.",2002.08.19 - 2002.08.25,Outdoor,Hard,13,Nicolas Massu,L,76(5) 16 36
223,2002,ATP Masters Series Cincinnati,"Cincinnati, OH, U.S.A.",2002.08.05 - 2002.08.11,Outdoor,Hard,14,Ivan Ljubicic,L,62 46 36
224,2002,ATP Masters Series Canada,"Toronto, Canada",2002.07.29 - 2002.08.04,Outdoor,Hard,10,Guillermo Canas,L,67(10) 57
225,2002,Gstaad,"Gstaad, Switzerland",2002.07.08 - 2002.07.14,Outdoor,Clay,11,Radek Stepanek,L,63 36 26
226,2002,Gstaad,"Gstaad, Switzerland",2002.07.08 - 2002.07.14,Outdoor,Clay,11,Hicham Arazi,W,64 63
227,2002,Wimbledon,"London, England",2002.06.24 - 2002.07.07,Outdoor,Grass,9,Mario Ancic,L,36 67(2) 36
228,2002,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2002.06.17 - 2002.06.23,Outdoor,Grass,9,Sjeng Schalken,L,63 57 36
229,2002,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2002.06.17 - 2002.06.23,Outdoor,Grass,9,Ivo Heuberger,W,64 (RET)
230,2002,'s-Hertogenbosch,"s-Hertogenbosch, Netherlands",2002.06.17 - 2002.06.23,Outdoor,Grass,9,Richard Krajicek,W,62 75
231,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,10,Nicolas Kiefer,L,64 46 46
232,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,10,Mikhail Youzhny,W,63 64
233,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,10,David Prinosil,W,62 64
234,2002,Halle,"Halle, Germany",2002.06.10 - 2002.06.16,Outdoor,Grass,10,Hendrik Dreekmann,W,67(5) 63 64
235,2002,Roland Garros,"Paris, France",2002.05.27 - 2002.06.09,Outdoor,Clay,8,Hicham Arazi,L,36 26 46
236,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,14,Marat Safin,W,61 63 64
237,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,14,Max Mirnyi,W,64 64
238,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,14,Gustavo Kuerten,W,60 16 62
239,2002,ATP Masters Series Hamburg,"Hamburg, Germany",2002.05.13 - 2002.05.19,Outdoor,Clay,14,Adrian Voinea,W,75 64
